"Year","Department","Count_Object"
"1929","Drawings & Prints",9
"1930","Drawings & Prints",3
"1930","Painting & Sculpture",4
"1931","Drawings & Prints",1
"1931","Painting & Sculpture",2
"1932","Architecture & Design",2
"1932","Drawings & Prints",14
"1932","Painting & Sculpture",1
"1932","Photography",1
"1933","Drawings & Prints",2
"1933","Photography",91
"1934","Architecture & Design",49
"1934","Drawings & Prints",186
"1934","Painting & Sculpture",19
"1934","Photography",2
"1935","Architecture & Design",23
"1935","Drawings & Prints",349
"1935","Painting & Sculpture",19
"1935","Photography",24
"1936","Architecture & Design",91
"1936","Drawings & Prints",33
"1936","Painting & Sculpture",23
"1937","Architecture & Design",198
"1937","Drawings & Prints",34
"1937","Painting & Sculpture",34
"1937","Photography",57
"1938","Architecture & Design",18
"1938","Drawings & Prints",9
"1938","Film",1
"1938","Painting & Sculpture",12
"1938","Photography",84
"1939","Architecture & Design",139
"1939","Drawings & Prints",160
"1939","Film",2
"1939","Painting & Sculpture",47
"1939","Photography",51
"1940","Architecture & Design",73
"1940","Drawings & Prints",1306
"1940","Film",3
"1940","Painting & Sculpture",17
"1940","Photography",125
"1941","Architecture & Design",10
"1941","Drawings & Prints",270
"1941","Painting & Sculpture",45
"1941","Photography",651
"1942","Architecture & Design",81
"1942","Drawings & Prints",559
"1942","Painting & Sculpture",75
"1942","Photography",218
"1943","Architecture & Design",851
"1943","Drawings & Prints",118
"1943","Painting & Sculpture",34
"1943","Photography",128
"1944","Architecture & Design",66
"1944","Drawings & Prints",147
"1944","Painting & Sculpture",19
"1944","Photography",113
"1945","Architecture & Design",107
"1945","Drawings & Prints",165
"1945","Painting & Sculpture",18
"1946","Architecture & Design",34
"1946","Drawings & Prints",97
"1946","Painting & Sculpture",8
"1946","Photography",32
"1947","Architecture & Design",77
"1947","Drawings & Prints",318
"1947","Painting & Sculpture",17
"1947","Photography",36
"1948","Architecture & Design",134
"1948","Drawings & Prints",265
"1948","Painting & Sculpture",21
"1948","Photography",1
"1949","Architecture & Design",29
"1949","Drawings & Prints",1517
"1949","Painting & Sculpture",36
"1950","Architecture & Design",99
"1950","Drawings & Prints",232
"1950","Painting & Sculpture",30
"1950","Photography",92
"1951","Architecture & Design",154
"1951","Drawings & Prints",441
"1951","Painting & Sculpture",36
"1952","Architecture & Design",65
"1952","Drawings & Prints",435
"1952","Painting & Sculpture",32
"1952","Photography",16
"1953","Architecture & Design",135
"1953","Drawings & Prints",246
"1953","Painting & Sculpture",42
"1953","Photography",51
"1954","Architecture & Design",122
"1954","Drawings & Prints",680
"1954","Painting & Sculpture",36
"1954","Photography",43
"1955","Architecture & Design",49
"1955","Drawings & Prints",338
"1955","Painting & Sculpture",52
"1955","Photography",4
"1956","Architecture & Design",214
"1956","Drawings & Prints",787
"1956","Painting & Sculpture",61
"1956","Photography",65
"1957","Architecture & Design",111
"1957","Drawings & Prints",142
"1957","Painting & Sculpture",26
"1957","Photography",26
"1958","Architecture & Design",190
"1958","Drawings & Prints",465
"1958","Painting & Sculpture",48
"1959","Architecture & Design",16
"1959","Drawings & Prints",308
"1959","Painting & Sculpture",57
"1959","Photography",450
"1960","Architecture & Design",114
"1960","Drawings & Prints",180
"1960","Painting & Sculpture",52
"1960","Photography",104
"1961","Architecture & Design",60
"1961","Drawings & Prints",257
"1961","Painting & Sculpture",76
"1961","Photography",160
"1962","Architecture & Design",34
"1962","Drawings & Prints",343
"1962","Painting & Sculpture",33
"1962","Photography",155
"1963","Architecture & Design",169
"1963","Drawings & Prints",606
"1963","Painting & Sculpture",49
"1963","Photography",127
"1964","Architecture & Design",91
"1964","Drawings & Prints",12101
"1964","Painting & Sculpture",61
"1964","Photography",575
"1965","Architecture & Design",107
"1965","Drawings & Prints",1493
"1965","Painting & Sculpture",67
"1965","Photography",352
"1966","Architecture & Design",149
"1966","Drawings & Prints",1481
"1966","Painting & Sculpture",52
"1966","Photography",169
"1967","Architecture & Design",200
"1967","Drawings & Prints",1775
"1967","Painting & Sculpture",99
"1967","Photography",337
"1968","Architecture & Design",205
"1968","Drawings & Prints",1169
"1968","Painting & Sculpture",41
"1968","Photography",5479
"1969","Architecture & Design",73
"1969","Drawings & Prints",1747
"1969","Painting & Sculpture",70
"1969","Photography",304
"1970","Architecture & Design",171
"1970","Drawings & Prints",729
"1970","Painting & Sculpture",67
"1970","Photography",267
"1971","Architecture & Design",3
"1971","Drawings & Prints",486
"1971","Painting & Sculpture",47
"1971","Photography",505
"1972","Architecture & Design",71
"1972","Drawings & Prints",498
"1972","Painting & Sculpture",11
"1972","Photography",282
"1973","Architecture & Design",35
"1973","Drawings & Prints",764
"1973","Painting & Sculpture",29
"1973","Photography",261
"1974","Architecture & Design",812
"1974","Drawings & Prints",1955
"1974","Painting & Sculpture",24
"1974","Photography",580
"1975","Architecture & Design",20
"1975","Drawings & Prints",597
"1975","Media and Performance",26
"1975","Painting & Sculpture",40
"1975","Photography",298
"1976","Architecture & Design",101
"1976","Drawings & Prints",401
"1976","Media and Performance",8
"1976","Painting & Sculpture",33
"1976","Photography",359
"1977","Architecture & Design",175
"1977","Drawings & Prints",713
"1977","Painting & Sculpture",23
"1977","Photography",297
"1978","Architecture & Design",60
"1978","Drawings & Prints",1013
"1978","Painting & Sculpture",37
"1978","Photography",238
"1979","Architecture & Design",68
"1979","Drawings & Prints",700
"1979","Film",1
"1979","Media and Performance",32
"1979","Painting & Sculpture",96
"1979","Photography",263
"1980","Architecture & Design",136
"1980","Drawings & Prints",303
"1980","Media and Performance",15
"1980","Painting & Sculpture",24
"1980","Photography",194
"1981","Architecture & Design",168
"1981","Drawings & Prints",430
"1981","Media and Performance",23
"1981","Painting & Sculpture",26
"1981","Photography",700
"1982","Architecture & Design",96
"1982","Drawings & Prints",407
"1982","Media and Performance",20
"1982","Painting & Sculpture",27
"1982","Photography",301
"1983","Architecture & Design",227
"1983","Drawings & Prints",490
"1983","Film",1
"1983","Media and Performance",14
"1983","Painting & Sculpture",48
"1983","Photography",414
"1984","Architecture & Design",103
"1984","Drawings & Prints",388
"1984","Media and Performance",62
"1984","Painting & Sculpture",29
"1984","Photography",288
"1985","Architecture & Design",112
"1985","Drawings & Prints",637
"1985","Media and Performance",14
"1985","Painting & Sculpture",112
"1985","Photography",170
"1986","Architecture & Design",71
"1986","Drawings & Prints",552
"1986","Media and Performance",62
"1986","Painting & Sculpture",30
"1986","Photography",309
"1987","Architecture & Design",198
"1987","Drawings & Prints",783
"1987","Media and Performance",17
"1987","Painting & Sculpture",24
"1987","Photography",295
"1988","Architecture & Design",75
"1988","Drawings & Prints",716
"1988","Media and Performance",36
"1988","Painting & Sculpture",16
"1988","Photography",176
"1989","Architecture & Design",28
"1989","Drawings & Prints",443
"1989","Film",4
"1989","Media and Performance",10
"1989","Painting & Sculpture",14
"1989","Photography",391
"1990","Architecture & Design",158
"1990","Drawings & Prints",796
"1990","Media and Performance",18
"1990","Painting & Sculpture",43
"1990","Photography",253
"1991","Architecture & Design",29
"1991","Drawings & Prints",502
"1991","Media and Performance",12
"1991","Painting & Sculpture",86
"1991","Photography",193
"1992","Architecture & Design",65
"1992","Drawings & Prints",743
"1992","Media and Performance",18
"1992","Painting & Sculpture",45
"1992","Photography",323
"1993","Architecture & Design",109
"1993","Drawings & Prints",839
"1993","Media and Performance",37
"1993","Painting & Sculpture",16
"1993","Photography",242
"1994","Architecture & Design",120
"1994","Drawings & Prints",345
"1994","Media and Performance",69
"1994","Painting & Sculpture",75
"1994","Photography",335
"1995","Architecture & Design",132
"1995","Drawings & Prints",231
"1995","Media and Performance",6
"1995","Painting & Sculpture",26
"1995","Photography",573
"1996","Architecture & Design",205
"1996","Drawings & Prints",494
"1996","Painting & Sculpture",77
"1996","Photography",196
"1997","Architecture & Design",98
"1997","Drawings & Prints",561
"1997","Media and Performance",71
"1997","Painting & Sculpture",40
"1997","Photography",180
"1998","Architecture & Design",131
"1998","Drawings & Prints",482
"1998","Film",1
"1998","Media and Performance",41
"1998","Painting & Sculpture",47
"1998","Photography",576
"1999","Architecture & Design",768
"1999","Drawings & Prints",684
"1999","Film",4
"1999","Media and Performance",153
"1999","Painting & Sculpture",34
"1999","Photography",164
"2000","Architecture & Design",433
"2000","Drawings & Prints",400
"2000","Media and Performance",106
"2000","Painting & Sculpture",43
"2000","Photography",904
"2001","Architecture & Design",265
"2001","Drawings & Prints",2859
"2001","Media and Performance",10
"2001","Painting & Sculpture",28
"2001","Photography",1008
"2002","Architecture & Design",39
"2002","Drawings & Prints",443
"2002","Film",2
"2002","Media and Performance",7
"2002","Painting & Sculpture",34
"2002","Photography",110
"2003","Architecture & Design",125
"2003","Drawings & Prints",243
"2003","Media and Performance",39
"2003","Painting & Sculpture",14
"2003","Photography",126
"2004","Architecture & Design",107
"2004","Drawings & Prints",434
"2004","Film",2
"2004","Media and Performance",36
"2004","Painting & Sculpture",47
"2004","Photography",137
"2005","Architecture & Design",104
"2005","Drawings & Prints",3306
"2005","Film",95
"2005","Media and Performance",68
"2005","Painting & Sculpture",151
"2005","Photography",343
"2006","Architecture & Design",300
"2006","Drawings & Prints",975
"2006","Media and Performance",21
"2006","Painting & Sculpture",33
"2006","Photography",336
"2007","Architecture & Design",227
"2007","Drawings & Prints",1207
"2007","Film",8
"2007","Media and Performance",428
"2007","Painting & Sculpture",41
"2007","Photography",437
"2008","Architecture & Design",220
"2008","Drawings & Prints",4580
"2008","Film",9
"2008","Fluxus Collection",1825
"2008","Media and Performance",257
"2008","Painting & Sculpture",46
"2008","Photography",267
"2009","Architecture & Design",193
"2009","Drawings & Prints",863
"2009","Media and Performance",55
"2009","Painting & Sculpture",32
"2009","Photography",387
"2010","Architecture & Design",145
"2010","Drawings & Prints",1101
"2010","Media and Performance",3
"2010","Painting & Sculpture",135
"2010","Photography",662
"2011","Architecture & Design",313
"2011","Drawings & Prints",960
"2011","Film",1
"2011","Media and Performance",178
"2011","Painting & Sculpture",90
"2011","Photography",374
"2012","Architecture & Design",741
"2012","Drawings & Prints",1605
"2012","Film",51
"2012","Media and Performance",140
"2012","Painting & Sculpture",46
"2012","Photography",352
"2013","Architecture & Design",165
"2013","Drawings & Prints",1430
"2013","Film",40
"2013","Media and Performance",78
"2013","Painting & Sculpture",68
"2013","Photography",1327
"2014","Architecture & Design",840
"2014","Drawings & Prints",1017
"2014","Film",6
"2014","Media and Performance",65
"2014","Painting & Sculpture",42
"2014","Photography",810
"2015","Architecture & Design",1388
"2015","Drawings & Prints",1142
"2015","Film",1
"2015","Media and Performance",240
"2015","Painting & Sculpture",54
"2015","Photography",991
"2016","Architecture & Design",503
"2016","Drawings & Prints",525
"2016","Film",9
"2016","Media and Performance",62
"2016","Painting & Sculpture",120
"2016","Photography",603
"2017","Architecture & Design",101
"2017","Drawings & Prints",360
"2017","Film",15
"2017","Media and Performance",94
"2017","Painting & Sculpture",49
"2017","Photography",952
"2018","Architecture & Design",857
"2018","Drawings & Prints",879
"2018","Film",6
"2018","Media and Performance",76
"2018","Painting & Sculpture",42
"2018","Photography",639
"2019","Architecture & Design",285
"2019","Drawings & Prints",595
"2019","Media and Performance",138
"2019","Painting & Sculpture",36
"2019","Photography",1230
"2020","Architecture & Design",195
"2020","Drawings & Prints",1244
"2020","Media and Performance",21
"2020","Painting & Sculpture",18
"2020","Photography",177
"2021","Architecture & Design",118
"2021","Drawings & Prints",210
"2021","Media and Performance",35
"2021","Painting & Sculpture",49
"2021","Photography",505
"2022","Architecture & Design",2
"2022","Drawings & Prints",145
"2022","Media and Performance",25
"2022","Painting & Sculpture",43
"2022","Photography",189
