Date,Price,Category,,,,
1990,24.14741667,USD,,,,
1991,20.16066667,USD,,,,
1992,19.58108333,USD,,,,
1993,16.80058333,USD,,,,
1994,16.139,USD,,,,
1995,17.17566667,USD,,,,
1996,23.39108333,EURO,,,,
1997,18.96925,EURO,,,,
1998,13.10266667,EURO,,,,
1999,18.29758333,EURO,,,,
2000,27.0345,EURO,,,,
2001,24.28566667,EURO,,,,
2002,25.83625,EURO,,,,
2003,28.14658333,EURO,,,,
2004,36.35275,USD,,,,
2005,58.45058333,USD,,,,
2006,63.54758333,USD,,,,
2007,69.468,USD,,,,
2008,97.52525,USD,,,,
2009,60.57325,USD,,,,
2010,75.15516667,USD,,,,
2011,112.1694167,USD,,,,
2012,109.0578333,USD,,,,
2013,109.10325,USD,,,,
2014,104.366,USD,,,,
2015,50.1015,USD,,,,
2016,45.9915,POUNDS,,,,
2017,54.30083333,POUNDS,,,,
2018,71.2215,POUNDS,,,,
2019,63.40233333,POUNDS,,,,
2020,41.71216667,POUNDS,,,,
2021,63.33333333,POUNDS,,,,
2022,60.5,POUNDS,,,,
